"","term","sum","matched_pathways","seed"
"1336","Kashin-Beck Disease","0","",3011
"1337","Lens Diseases","1","Coronavirus disease - COVID-19",3011
"1338","Tennis Elbow","0","",3011
"1339","Central Nervous System Cysts","0","",3011
"1340","Musculoskeletal Pain","1","Coronavirus disease - COVID-19",3011
"1341","Insomnia, Fatal Familial","0","",3011
"1342","Lameness, Animal","0","",3011
"1343","Blood Loss, Surgical","1","Coronavirus disease - COVID-19",3011
"1344","Nasopharyngeal Carcinoma","1","Coronavirus disease - COVID-19",3011
"1345","Malacoplakia","0","",3011
"1346","Genital Diseases, Male","1","Coronavirus disease - COVID-19",3011
"1347","Calculi","1","Coronavirus disease - COVID-19",3011
"1348","Duodenogastric Reflux","0","",3011
"1349","Mite Infestations","0","",3011
"1350","Filoviridae Infections","1","Coronavirus disease - COVID-19",3011
"1351","Overtraining Syndrome","NA","",3011
"1352","Infertility, Male","1","Coronavirus disease - COVID-19",3011
"1353","Tarsal Coalition","NA","",3011
"1354","Pelvic Girdle Pain","0","",3011
"1355","Albinism","1","Coronavirus disease - COVID-19",3011
"1356","Periodontal Attachment Loss","1","Coronavirus disease - COVID-19",3011
"1357","Vestibular Diseases","0","",3011
"1358","Epilepsy, Reflex","0","",3011
"1359","Dentin Dysplasia","0","",3011
"1360","Pseudomonas Infections","1","Coronavirus disease - COVID-19",3011
"1361","Breast Diseases","1","Coronavirus disease - COVID-19",3011
"1362","Respiratory Tract Fistula","0","",3011
"1363","Bronchomalacia","NA","",3011
"1364","Sacroiliitis","0","",3011
"1365","Potassium Deficiency","0","",3011
"1366","Musculoskeletal Diseases","1","Coronavirus disease - COVID-19",3011
"1367","Anhedonia","1","Coronavirus disease - COVID-19",3011
"1368","Hearing Loss, Unilateral","0","",3011
"1369","Brain Injury, Chronic","0","",3011
"1370","Porcine Postweaning Multisystemic Wasting Syndrome","1","Coronavirus disease - COVID-19",3011
"1371","Erythema Nodosum","1","Coronavirus disease - COVID-19",3011
"1372","Hypobetalipoproteinemias","0","",3011
"1373","West Nile Fever","1","Coronavirus disease - COVID-19",3011
"1374","Vesico-Ureteral Reflux","0","",3011
"1375","Gastritis, Atrophic","0","",3011
"1376","Posterior Tibial Tendon Dysfunction","0","",3011
"1377","Flank Pain","0","",3011
"1378","Alopecia","1","Coronavirus disease - COVID-19",3011
"1379","Dental Enamel Hypoplasia","1","Coronavirus disease - COVID-19",3011
"1380","Proctocolitis","NA","",3011
"1381","Hyperthyroidism","1","Coronavirus disease - COVID-19",3011
"1382","Darier Disease","0","",3011
"1383","Agenesis of Corpus Callosum","0","",3011
"1384","Limb Deformities, Congenital","0","",3011
"1385","Carcinoma, Giant Cell","0","",3011
"1386","Critical Illness","1","Coronavirus disease - COVID-19",3011
"1387","Pregnancy, Tubal","0","",3011
"1388","Splenomegaly","1","Coronavirus disease - COVID-19",3011
"1389","Prosthesis Failure","1","Coronavirus disease - COVID-19",3011
"1390","Opioid-Related Disorders","1","Coronavirus disease - COVID-19",3011
"1391","Leukemia, Hairy Cell","1","Coronavirus disease - COVID-19",3011
"1392","Vaginal Discharge","0","",3011
"1393","Ductus Arteriosus, Patent","1","Coronavirus disease - COVID-19",3011
"1394","Necrobiotic Xanthogranuloma","0","",3011
"1395","Heart Rupture","0","",3011
"1396","Hyalinosis, Systemic","0","",3011
"1397","Subclavian Steal Syndrome","0","",3011
"1398","Lichenoid Eruptions","1","Coronavirus disease - COVID-19",3011
"1399","Blepharitis","1","Coronavirus disease - COVID-19",3011
"1400","Stargardt Disease","0","",3011
"1401","Lymphangiosarcoma","NA","",3011
"1402","Gout","1","Coronavirus disease - COVID-19",3011
"1403","Intracranial Hemorrhage, Hypertensive","0","",3011
"1404","Angiomyoma","0","",3011
"1405","von Willebrand Disease, Type 2","0","",3011
"1406","Pneumococcal Infections","1","Coronavirus disease - COVID-19",3011
"1407","Microaneurysm","0","",3011
"1408","Gonadoblastoma","0","",3011
"1409","Carcinoma, Ductal, Breast","1","Coronavirus disease - COVID-19",3011
"1410","Arthritis, Experimental","1","Coronavirus disease - COVID-19",3011
"1411","Diabetes Insipidus","0","",3011
"1412","Hypotension","1","Coronavirus disease - COVID-19",3011
"1413","46, XX Disorders of Sex Development","0","",3011
"1414","Diabetes Mellitus, Type 1","1","Coronavirus disease - COVID-19",3011
"1415","Esophageal Atresia","0","",3011
"1416","Reticuloendotheliosis, Avian","NA","",3011
"1417","Hyperostosis","0","",3011
"1418","Aphasia","0","",3011
"1419","Porphyria Cutanea Tarda","0","",3011
"1420","Hemoglobin C Disease","0","",3011
"1421","Dementia, Vascular","1","Coronavirus disease - COVID-19",3011
"1422","Brucellosis","1","Coronavirus disease - COVID-19",3011
"1423","Rhinitis","1","Coronavirus disease - COVID-19",3011
"1424","Lymphogranuloma Venereum","0","",3011
"1425","Coronary Vasospasm","0","",3011
"1426","Pyruvate Dehydrogenase Complex Deficiency Disease","0","",3011
"1427","Coronary Restenosis","1","Coronavirus disease - COVID-19",3011
"1428","Condylomata Acuminata","1","Coronavirus disease - COVID-19",3011
"1429","Kidney Failure, Chronic","1","Coronavirus disease - COVID-19",3011
"1430","Respirovirus Infections","1","Coronavirus disease - COVID-19",3011
"1431","Fructose Metabolism, Inborn Errors","0","",3011
"1432","Brain Edema","1","Coronavirus disease - COVID-19",3011
"1433","Dyspepsia","0","",3011
"1434","Adenocarcinoma of Lung","1","Coronavirus disease - COVID-19",3011
"1435","Crystalluria","NA","",3011
"1436","Tobacco Use Disorder","0","",3011
"1437","Obstetric Labor Complications","1","Coronavirus disease - COVID-19",3011
"1438","Limbal Stem Cell Deficiency","NA","",3011
"1439","Flatfoot","0","",3011
"1440","Lymphopenia","1","Coronavirus disease - COVID-19",3011
"1441","Sertoli Cell-Only Syndrome","0","",3011
"1442","Arthus Reaction","0","",3011
"1443","Glycogen Storage Disease Type I","1","Coronavirus disease - COVID-19",3011
"1444","Substance Abuse, Intravenous","0","",3011
"1445","Synostosis","0","",3011
"1446","Alstrom Syndrome","1","Coronavirus disease - COVID-19",3011
"1447","Heavy Metal Poisoning","1","Coronavirus disease - COVID-19",3011
"1448","Parametritis","NA","",3011
"1449","Cystocele","NA","",3011
"1450","Togaviridae Infections","1","Coronavirus disease - COVID-19",3011
"1451","Death","1","Coronavirus disease - COVID-19",3011
"1452","Buschke-Lowenstein Tumor","NA","",3011
"1453","Dientamoebiasis","0","",3011
"1454","Neuroectodermal Tumors, Primitive","1","Coronavirus disease - COVID-19",3011
"1455","Insulin Coma","NA","",3011
"1456","Adenocarcinoma, Papillary","1","Coronavirus disease - COVID-19",3011
"1457","Adenoma, Bile Duct","NA","",3011
"1458","Lung Diseases, Interstitial","1","Coronavirus disease - COVID-19",3011
"1459","Carney Complex","0","",3011
"1460","Sclerosis","0","",3011
"1461","Subarachnoid Hemorrhage, Traumatic","0","",3011
"1462","Sneezing","0","",3011
"1463","Lambert-Eaton Myasthenic Syndrome","0","",3011
"1464","Hypotrichosis","1","Coronavirus disease - COVID-19",3011
"1465","Middle Lobe Syndrome","0","",3011
"1466","Urological Manifestations","1","Coronavirus disease - COVID-19",3011
"1467","Alert Fatigue, Health Personnel","0","",3011
"1468","Oligohydramnios","0","",3011
"1469","Myocarditis","1","Coronavirus disease - COVID-19",3011
"1470","Geotrichosis","NA","",3011
"1471","Gangrene","1","Coronavirus disease - COVID-19",3011
"1472","Wolfram Syndrome","0","",3011
"1473","Asphyxia","0","",3011
"1474","Skin Diseases, Eczematous","1","Coronavirus disease - COVID-19",3011
"1475","Pulmonary Disease, Chronic Obstructive","1","Coronavirus disease - COVID-19",3011
"1476","Multiple Chronic Conditions","0","",3011
"1477","Holoprosencephaly","0","",3011
"1478","Diphyllobothriasis","0","",3011
"1479","POEMS Syndrome","1","Coronavirus disease - COVID-19",3011
"1480","Carbon Tetrachloride Poisoning","1","Coronavirus disease - COVID-19",3011
"1481","Breakthrough Pain","0","",3011
"1482","Churg-Strauss Syndrome","0","",3011
"1483","Bronchitis, Chronic","0","",3011
"1484","Gliosarcoma","0","",3011
"1485","Astrocytoma","1","Coronavirus disease - COVID-19",3011
"1486","Ectodermal Dysplasia 1, Anhidrotic","0","",3011
"1487","Sleep Paralysis","0","",3011
"1488","Candidiasis, Invasive","1","Coronavirus disease - COVID-19",3011
"1489","Carotid Body Tumor","0","",3011
"1490","Acute Generalized Exanthematous Pustulosis","1","Coronavirus disease - COVID-19",3011
"1491","Overnutrition","1","Coronavirus disease - COVID-19",3011
"1492","Basal Ganglia Diseases","1","Coronavirus disease - COVID-19",3011
"1493","Retrocaval Ureter","NA","",3011
"1494","Fetomaternal Transfusion","0","",3011
"1495","Angina, Unstable","1","Coronavirus disease - COVID-19",3011
"1496","Radial Head and Neck Fractures","NA","",3011
"1497","Aneuploidy","1","Coronavirus disease - COVID-19",3011
"1498","Tetanus","0","",3011
"1499","Mouth Neoplasms","1","Coronavirus disease - COVID-19",3011
"1500","Trigeminal Nerve Diseases","0","",3011
"1501","Uveitis, Suppurative","NA","",3011
"1502","Goat Diseases","1","Coronavirus disease - COVID-19",3011
"1503","Plant Poisoning","0","",3011
"1504","Malaria, Falciparum","1","Coronavirus disease - COVID-19",3011
"1505","Neoplasms, Hormone-Dependent","1","Coronavirus disease - COVID-19",3011
"1506","Brain Death","1","Coronavirus disease - COVID-19",3011
"1507","Shock, Septic","1","Coronavirus disease - COVID-19",3011
"1508","Cardiac Conduction System Disease","1","Coronavirus disease - COVID-19",3011
"1509","Hand Deformities, Congenital","0","",3011
"1510","Opium Dependence","0","",3011
"1511","Choroid Neoplasms","0","",3011
"1512","Epididymitis","1","Coronavirus disease - COVID-19",3011
"1513","Periarthritis","0","",3011
"1514","Meningomyelocele","0","",3011
"1515","Adrenal Cortex Neoplasms","0","",3011
"1516","Monkeypox","0","",3011
"1517","Felty Syndrome","NA","",3011
"1518","Dental Pulp Necrosis","1","Coronavirus disease - COVID-19",3011
"1519","Oral Manifestations","1","Coronavirus disease - COVID-19",3011
"1520","Fetal Death","1","Coronavirus disease - COVID-19",3011
"1521","Q Fever","1","Coronavirus disease - COVID-19",3011
"1522","Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis","1","Coronavirus disease - COVID-19",3011
"1523","Burns","1","Coronavirus disease - COVID-19",3011
"1524","Hepatitis D, Chronic","1","Coronavirus disease - COVID-19",3011
"1525","Embolism, Air","0","",3011
"1526","Perceptual Disorders","1","Coronavirus disease - COVID-19",3011
"1527","Colitis","1","Coronavirus disease - COVID-19",3011
"1528","Acute Chest Syndrome","0","",3011
"1529","Mastodynia","0","",3011
"1530","Infant Death","0","",3011
"1531","Immune Reconstitution Inflammatory Syndrome","1","Coronavirus disease - COVID-19",3011
"1532","Neonatal Abstinence Syndrome","0","",3011
"1533","Adenofibroma","0","",3011
"1534","Cranial Nerve Diseases","1","Coronavirus disease - COVID-19",3011
"1535","Carpal Tunnel Syndrome","0","",3011
"1536","Starvation","1","Coronavirus disease - COVID-19",3011
"1537","Candidiasis","1","Coronavirus disease - COVID-19",3011
"1538","Hepatitis D","1","Coronavirus disease - COVID-19",3011
"1539","Back Pain","1","Coronavirus disease - COVID-19",3011
"1540","Retropharyngeal Abscess","0","",3011
"1541","Acute-Phase Reaction","1","Coronavirus disease - COVID-19",3011
"1542","Paraneoplastic Cerebellar Degeneration","0","",3011
"1543","Rett Syndrome","1","Coronavirus disease - COVID-19",3011
"1544","Anomia","0","",3011
"1545","Herpes Zoster","1","Coronavirus disease - COVID-19",3011
"1546","Pelvic Inflammatory Disease","1","Coronavirus disease - COVID-19",3011
"1547","Sick Building Syndrome","0","",3011
"1548","Superior Vena Cava Syndrome","0","",3011
"1549","Rectal Prolapse","0","",3011
"1550","Athetosis","0","",3011
"1551","Kidney Cortex Necrosis","0","",3011
"1552","Low Anterior Resection Syndrome","NA","",3011
"1553","Jaundice, Chronic Idiopathic","0","",3011
"1554","Reinjuries","NA","",3011
"1555","Asthenia","0","",3011
"1556","Facial Dermatoses","1","Coronavirus disease - COVID-19",3011
"1557","Feline Acquired Immunodeficiency Syndrome","0","",3011
"1558","Mulibrey Nanism","1","Coronavirus disease - COVID-19",3011
"1559","Giant Cell Arteritis","1","Coronavirus disease - COVID-19",3011
"1560","Blepharospasm","0","",3011
"1561","Knee Fractures","NA","",3011
"1562","Cutaneous Fistula","0","",3011
"1563","Adenoma, Acidophil","NA","",3011
"1564","Balkan Nephropathy","0","",3011
"1565","Hemorrhagic Septicemia, Viral","1","Coronavirus disease - COVID-19",3011
"1566","Aging, Premature","0","",3011
"1567","Empyema, Tuberculous","NA","",3011
"1568","Femoracetabular Impingement","0","",3011
"1569","Ochronosis","0","",3011
"1570","Acquired Hyperostosis Syndrome","1","Coronavirus disease - COVID-19",3011
"1571","Intestinal Pseudo-Obstruction","0","",3011
"1572","CADASIL","1","Coronavirus disease - COVID-19",3011
"1573","Intestinal Obstruction","1","Coronavirus disease - COVID-19",3011
"1574","Charcot-Marie-Tooth Disease","0","",3011
"1575","Chlamydial Pneumonia","NA","",3011
"1576","Histiocytosis, Non-Langerhans-Cell","1","Coronavirus disease - COVID-19",3011
"1577","Depression, Postpartum","0","",3011
"1578","Bisphosphonate-Associated Osteonecrosis of the Jaw","0","",3011
"1579","Obstetric Labor, Premature","1","Coronavirus disease - COVID-19",3011
"1580","Lingual Goiter","NA","",3011
"1581","Splenic Rupture","0","",3011
"1582","Heart Murmurs","0","",3011
"1583","Hematometra","NA","",3011
"1584","Typhus, Endemic Flea-Borne","1","Coronavirus disease - COVID-19",3011
"1585","Spastic Paraplegia, Hereditary","0","",3011
"1586","Hypopituitarism","0","",3011
"1587","Restless Legs Syndrome","0","",3011
"1588","Heredodegenerative Disorders, Nervous System","1","Coronavirus disease - COVID-19",3011
"1589","Inflammation","1","Coronavirus disease - COVID-19",3011
"1590","Arteriolosclerosis","0","",3011
"1591","Iris Diseases","0","",3011
"1592","Propionic Acidemia","0","",3011
"1593","Paratyphoid Fever","0","",3011
"1594","Arrhythmogenic Right Ventricular Dysplasia","1","Coronavirus disease - COVID-19",3011
"1595","Dermatitis, Atopic","1","Coronavirus disease - COVID-19",3011
"1596","Stiff-Person Syndrome","0","",3011
"1597","Neuromuscular Junction Diseases","1","Coronavirus disease - COVID-19",3011
"1598","Open Bite","0","",3011
"1599","Meningioma","1","Coronavirus disease - COVID-19",3011
"1600","Flatulence","0","",3011
"1601","Postoperative Nausea and Vomiting","0","",3011
"1602","Pleural Neoplasms","1","Coronavirus disease - COVID-19",3011
"1603","Chloracne","0","",3011
"1604","Wounds, Gunshot","0","",3011
"1605","Aortic Intramural Hematoma","NA","",3011
"1606","Rhinitis, Allergic, Seasonal","1","Coronavirus disease - COVID-19",3011
"1607","Coronary Artery Disease","1","Coronavirus disease - COVID-19",3011
"1608","Keratoderma, Palmoplantar, Diffuse","0","",3011
"1609","Wilms Tumor","0","",3011
"1610","Carotid-Cavernous Sinus Fistula","0","",3011
"1611","Acute Kidney Injury","1","Coronavirus disease - COVID-19",3011
"1612","Aneurysm, Ruptured","1","Coronavirus disease - COVID-19",3011
"1613","Steroid Metabolism, Inborn Errors","0","",3011
"1614","Epidermodysplasia Verruciformis","1","Coronavirus disease - COVID-19",3011
"1615","Ventricular Outflow Obstruction","1","Coronavirus disease - COVID-19",3011
"1616","Posterior Leukoencephalopathy Syndrome","0","",3011
"1617","Intraoperative Complications","1","Coronavirus disease - COVID-19",3011
"1618","Tuberculosis, Multidrug-Resistant","1","Coronavirus disease - COVID-19",3011
"1619","Chondromatosis","0","",3011
"1620","Leukopenia","1","Coronavirus disease - COVID-19",3011
"1621","Thrombosis","1","Coronavirus disease - COVID-19",3011
"1622","Shoulder Dystocia","0","",3011
"1623","Fetal Growth Retardation","1","Coronavirus disease - COVID-19",3011
"1624","Ameloblastoma","1","Coronavirus disease - COVID-19",3011
"1625","Infant Nutrition Disorders","0","",3011
"1626","Parvoviridae Infections","1","Coronavirus disease - COVID-19",3011
"1627","Nerve Degeneration","1","Coronavirus disease - COVID-19",3011
"1628","Glycosuria, Renal","0","",3011
"1629","Sporotrichosis","1","Coronavirus disease - COVID-19",3011
"1630","Autoimmune Lymphoproliferative Syndrome","1","Coronavirus disease - COVID-19",3011
"1631","Bone Cysts, Aneurysmal","0","",3011
"1632","Epilepsy, Temporal Lobe","1","Coronavirus disease - COVID-19",3011
"1633","Pinguecula","NA","",3011
"1634","Prediabetic State","1","Coronavirus disease - COVID-19",3011
"1635","White Heifer Disease","NA","",3011
"1636","Cowpox","NA","",3011
"1637","Bacterial Zoonoses","NA","",3011
"1638","Scleredema Adultorum","NA","",3011
"1639","Mast-Cell Sarcoma","0","",3011
"1640","Erythroplasia","0","",3011
"1641","Legg-Calve-Perthes Disease","0","",3011
"1642","Diabetic Nephropathies","1","Coronavirus disease - COVID-19",3011
"1643","Vaccine-Preventable Diseases","NA","",3011
"1644","Glomus Tumor","0","",3011
"1645","Pierre Robin Syndrome","0","",3011
"1646","Tietze's Syndrome","NA","",3011
"1647","Foramen Ovale, Patent","0","",3011
"1648","Relapsing Fever","0","",3011
"1649","Urogenital Neoplasms","1","Coronavirus disease - COVID-19",3011
"1650","AIDS Arteritis, Central Nervous System","NA","",3011
"1651","Splenosis","0","",3011
"1652","Osteoporosis, Postmenopausal","1","Coronavirus disease - COVID-19",3011
"1653","Chlamydiaceae Infections","1","Coronavirus disease - COVID-19",3011
"1654","Vitreous Detachment","0","",3011
"1655","Late Onset Disorders","0","",3011
"1656","Conducted Energy Weapon Injuries","NA","",3011
"1657","Necrolytic Migratory Erythema","0","",3011
"1658","Hematocolpos","NA","",3011
"1659","Hammer Toe Syndrome","0","",3011
"1660","Heroin Dependence","0","",3011
"1661","Galactorrhea","0","",3011
"1662","Autonomic Dysreflexia","0","",3011
"1663","Noma","NA","",3011
"1664","Persistent Vegetative State","0","",3011
"1665","Hernia, Diaphragmatic","0","",3011
"1666","Carbon Monoxide Poisoning","0","",3011
"1667","Pseudolymphoma","0","",3011
"1668","Retinitis","1","Coronavirus disease - COVID-19",3011
"1669","Neuroectodermal Tumor, Melanotic","0","",3011
"1670","Aphonia","0","",3011
"1671","Blepharoptosis","0","",3011
"1672","Ostertagiasis","NA","",3011
"1673","Median Arcuate Ligament Syndrome","0","",3011
"1674","Adnexal Diseases","1","Coronavirus disease - COVID-19",3011
"1675","Leukemia, Myeloid, Accelerated Phase","0","",3011
"1676","Latent Infection","1","Coronavirus disease - COVID-19",3011
"1677","Albinism, Ocular","0","",3011
"1678","Triploidy","0","",3011
"1679","Dyspnea","1","Coronavirus disease - COVID-19",3011
"1680","Dysphonia","0","",3011
"1681","Ulcer","1","Coronavirus disease - COVID-19",3011
"1682","Intraoperative Awareness","0","",3011
"1683","Pneumonia, Necrotizing","0","",3011
"1684","Cardiovascular Infections","1","Coronavirus disease - COVID-19",3011
"1685","Coagulation Protein Disorders","1","Coronavirus disease - COVID-19",3011
"1686","Huntington Disease","1","Coronavirus disease - COVID-19",3011
"1687","Enterocolitis, Neutropenic","0","",3011
"1688","Urinary Retention","0","",3011
"1689","Gastrointestinal Stromal Tumors","1","Coronavirus disease - COVID-19",3011
"1690","Tuberous Sclerosis","1","Coronavirus disease - COVID-19",3011
"1691","Myokymia","0","",3011
"1692","Neonatal Sepsis","1","Coronavirus disease - COVID-19",3011
"1693","Neurotoxicity Syndromes","1","Coronavirus disease - COVID-19",3011
"1694","Digital Dermatitis","NA","",3011
"1695","Auditory Perceptual Disorders","0","",3011
"1696","Optic Atrophy, Hereditary, Leber","0","",3011
"1697","Carcinogenesis","1","Coronavirus disease - COVID-19",3011
"1698","Septo-Optic Dysplasia","0","",3011
"1699","Parotid Diseases","0","",3011
"1700","Renal Aminoacidurias","1","Coronavirus disease - COVID-19",3011
"1701","Metaplasia","1","Coronavirus disease - COVID-19",3011
"1702","Cestode Infections","1","Coronavirus disease - COVID-19",3011
"1703","End Stage Liver Disease","1","Coronavirus disease - COVID-19",3011
"1704","Pregnancy in Diabetics","1","Coronavirus disease - COVID-19",3011
"1705","Neurocytoma","0","",3011
"1706","Cancer Pain","1","Coronavirus disease - COVID-19",3011
"1707","Conjunctivitis","1","Coronavirus disease - COVID-19",3011
"1708","Hearing Loss, Sensorineural","1","Coronavirus disease - COVID-19",3011
"1709","Vaginosis, Bacterial","1","Coronavirus disease - COVID-19",3011
"1710","Urinary Bladder Neck Obstruction","1","Coronavirus disease - COVID-19",3011
"1711","Osteomalacia","0","",3011
"1712","Olivopontocerebellar Atrophies","0","",3011
"1713","Luteoma","NA","",3011
"1714","Peptic Ulcer Hemorrhage","0","",3011
"1715","Syphilis, Cutaneous","0","",3011
"1716","Ocular Hypotension","0","",3011
"1717","Poliomyelitis","1","Coronavirus disease - COVID-19",3011
"1718","Body Weight Changes","1","Coronavirus disease - COVID-19",3011
"1719","Fusariosis","0","",3011
"1720","Panniculitis, Lupus Erythematosus","0","",3011
"1721","Dysplastic Nevus Syndrome","1","Coronavirus disease - COVID-19",3011
"1722","Balantidiasis","NA","",3011
"1723","Hypoaldosteronism","0","",3011
"1724","Tooth Wear","0","",3011
"1725","Peste-des-Petits-Ruminants","1","Coronavirus disease - COVID-19",3011
"1726","Pharyngitis","1","Coronavirus disease - COVID-19",3011
"1727","Pancreatitis, Acute Necrotizing","1","Coronavirus disease - COVID-19",3011
"1728","Tympanosclerosis","0","",3011
"1729","Parkinson Disease, Secondary","1","Coronavirus disease - COVID-19",3011
"1730","Gastritis","1","Coronavirus disease - COVID-19",3011
"1731","Hypoglossal Nerve Injuries","1","Coronavirus disease - COVID-19",3011
"1732","Rare Diseases","1","Coronavirus disease - COVID-19",3011
"1733","Thromboembolism","1","Coronavirus disease - COVID-19",3011
"1734","Mycobacterium Infections, Nontuberculous","1","Coronavirus disease - COVID-19",3011
"1735","Corticobasal Degeneration","NA","",3011
"1736","Leukemia, Myeloid","1","Coronavirus disease - COVID-19",3011
"1737","Odontogenic Tumors","1","Coronavirus disease - COVID-19",3011
"1738","Enchondromatosis","0","",3011
"1739","Yin Deficiency","0","",3011
"1740","Arrhythmia, Sinus","0","",3011
"1741","Porphyria, Acute Intermittent","0","",3011
"1742","Nystagmus, Pathologic","0","",3011
"1743","Aortico-Ventricular Tunnel","NA","",3011
"1744","Waldenstrom Macroglobulinemia","1","Coronavirus disease - COVID-19",3011
"1745","Carcinoma","1","Coronavirus disease - COVID-19",3011
"1746","Hernia, Femoral","0","",3011
"1747","Periodontal Pocket","1","Coronavirus disease - COVID-19",3011
"1748","Developmental Defects of Enamel","1","Coronavirus disease - COVID-19",3011
"1749","Fibrous Dysplasia of Bone","1","Coronavirus disease - COVID-19",3011
"1750","Congenital Abnormalities","1","Coronavirus disease - COVID-19",3011
"1751","White Coat Hypertension","0","",3011
"1752","Hyperventilation","0","",3011
"1753","Hip Contracture","0","",3011
"1754","ST Elevation Myocardial Infarction","1","Coronavirus disease - COVID-19",3011
"1755","Periodontal Diseases","1","Coronavirus disease - COVID-19",3011
"1756","Vasospasm, Intracranial","0","",3011
"1757","Emaciation","NA","",3011
"1758","Teratocarcinoma","0","",3011
"1759","Esophageal Achalasia","0","",3011
"1760","Hyperostosis, Sternocostoclavicular","NA","",3011
"1761","Neurothekeoma","0","",3011
"1762","Tooth Injuries","0","",3011
"1763","Short Bowel Syndrome","1","Coronavirus disease - COVID-19",3011
"1764","Urinary Bladder Diseases","1","Coronavirus disease - COVID-19",3011
"1765","Ischemic Contracture","NA","",3011
"1766","Lutembacher Syndrome","NA","",3011
"1767","Striatonigral Degeneration","1","Coronavirus disease - COVID-19",3011
"1768","Sleep Initiation and Maintenance Disorders","0","",3011
"1769","Carcinoma 256, Walker","0","",3011
"1770","Struma Ovarii","0","",3011
"1771","Craniomandibular Disorders","1","Coronavirus disease - COVID-19",3011
"1772","Urethral Diseases","1","Coronavirus disease - COVID-19",3011
"1773","Zika Virus Infection","1","Coronavirus disease - COVID-19",3011
"1774","Craniopharyngioma","1","Coronavirus disease - COVID-19",3011
"1775","Perimeningeal Infections","0","",3011
"1776","Pediatric Obesity","1","Coronavirus disease - COVID-19",3011
"1777","Sleep Bruxism","0","",3011
"1778","Bloom Syndrome","0","",3011
"1779","Neuroectodermal Tumors","1","Coronavirus disease - COVID-19",3011
"1780","Mikulicz' Disease","NA","",3011
"1781","Osteomyelitis","1","Coronavirus disease - COVID-19",3011
"1782","Fibula Fractures","NA","",3011
"1783","Serratia Infections","0","",3011
"1784","Fetal Diseases","1","Coronavirus disease - COVID-19",3011
"1785","Emergencies","0","",3011
"1786","Influenza, Human","1","Coronavirus disease - COVID-19",3011
"1787","Shoulder Dislocation","0","",3011
"1788","Pneumocystis Infections","1","Coronavirus disease - COVID-19",3011
"1789","Diphtheria","0","",3011
"1790","White Dot Syndromes","0","",3011
"1791","Choroid Plexus Neoplasms","0","",3011
"1792","Drug Overdose","0","",3011
"1793","Anaplasmosis","0","",3011
"1794","Foot Ulcer","1","Coronavirus disease - COVID-19",3011
"1795","Sarcoma","1","Coronavirus disease - COVID-19",3011
"1796","Neuritis","1","Coronavirus disease - COVID-19",3011
"1797","Optic Nerve Glioma","0","",3011
"1798","Cryopyrin-Associated Periodic Syndromes","1","Coronavirus disease - COVID-19",3011
"1799","Intestinal Polyposis","1","Coronavirus disease - COVID-19",3011
"1800","Biliary Atresia","1","Coronavirus disease - COVID-19",3011
"1801","Coffin-Lowry Syndrome","0","",3011
"1802","Venous Thrombosis","1","Coronavirus disease - COVID-19",3011
"1803","Hiccup","0","",3011
"1804","Leishmaniasis, Mucocutaneous","0","",3011
"1805","Seizures, Febrile","1","Coronavirus disease - COVID-19",3011
"1806","Brain Concussion","1","Coronavirus disease - COVID-19",3011
"1807","Hallux Valgus","0","",3011
"1808","Leukoplakia, Oral","0","",3011
"1809","Hyperamylasemia","1","Coronavirus disease - COVID-19",3011
"1810","Pseudobulbar Palsy","NA","",3011
"1811","Myoclonic Epilepsies, Progressive","0","",3011
"1812","Thymus Neoplasms","0","",3011
"1813","Hypoalphalipoproteinemias","1","Coronavirus disease - COVID-19",3011
"1814","Language Disorders","0","",3011
"1815","Impotence, Vasculogenic","0","",3011
"1816","Feline Panleukopenia","0","",3011
"1817","Scrapie","0","",3011
"1818","Leukemia, Mast-Cell","0","",3011
"1819","Pulmonary Subvalvular Stenosis","NA","",3011
"1820","Edema, Cardiac","1","Coronavirus disease - COVID-19",3011
"1821","Kaposi Varicelliform Eruption","1","Coronavirus disease - COVID-19",3011
"1822","Aortic Valve Stenosis","1","Coronavirus disease - COVID-19",3011
"1823","Frontal Sinusitis","NA","",3011
"1824","Rhabdomyosarcoma","1","Coronavirus disease - COVID-19",3011
"1825","Glycogen Storage Disease Type II","0","",3011
"1826","Vaccinia","1","Coronavirus disease - COVID-19",3011
"1827","X-Linked Combined Immunodeficiency Diseases","0","",3011
"1828","Retinoschisis","0","",3011
"1829","Myeloproliferative Disorders","1","Coronavirus disease - COVID-19",3011
"1830","Hemorrhagic Fever, American","0","",3011
"1831","Refeeding Syndrome","0","",3011
"1832","Kounis Syndrome","0","",3011
"1833","Fractures, Bone","1","Coronavirus disease - COVID-19",3011
"1834","Atrophy","1","Coronavirus disease - COVID-19",3011
"1835","Eye Infections, Bacterial","1","Coronavirus disease - COVID-19",3011
"1836","Otitis Media, Suppurative","0","",3011
"1837","Diabetic Ketoacidosis","1","Coronavirus disease - COVID-19",3011
"1838","Cholestasis","1","Coronavirus disease - COVID-19",3011
"1839","Ventricular Outflow Obstruction, Left","NA","",3011
"1840","Nephrosis, Lipoid","1","Coronavirus disease - COVID-19",3011
"1841","Pelvic Organ Prolapse","1","Coronavirus disease - COVID-19",3011
"1842","Out-of-Hospital Cardiac Arrest","0","",3011
